Rank	Genome_ID	Organism	BioSample_ID	Date	Location	Host	Similarity_score	p-value
44	GCA_015272975.1	Staphylococcus aureus	SAMN15665315	2017-04-28	Australia	Homo sapiens	85.78481	0.04057
45	GCA_015273015.1	Staphylococcus aureus	SAMN15665313	2017-04-28	Australia	Homo sapiens	85.78481	0.04057
46	GCA_015273035.1	Staphylococcus aureus	SAMN15665314	2017-04-28	Australia	Homo sapiens	85.78481	0.04057
47	GCA_015713245.1	Staphylococcus aureus	SAMN10689450	2013-10	USA	Homo sapiens	85.78481	0.04057
48	GCA_015714505.1	Staphylococcus aureus	SAMN10689355	2011-12	USA	Homo sapiens	85.78481	0.04057
49	GCA_017698555.1	Staphylococcus aureus	SAMN16420370	2017	France	Homo sapiens	85.78481	0.04057
50	GCA_018165115.1	Staphylococcus aureus	SAMEA6656621	2018	Denmark	Homo sapiens	85.78481	0.04057
51	GCA_018995105.1	Staphylococcus aureus	SAMN19679289	2010-02	Pakistan	Homo sapiens	85.78481	0.04057
52	GCA_900097405.1	Staphylococcus aureus	SAMEA3109330	2014	Tanzania	Homo sapiens	85.78481	0.04057
53	GCA_900097675.1	Staphylococcus aureus	SAMEA2298743	2013	Tanzania	Homo sapiens	85.78481	0.04057
54	GCA_900097885.1	Staphylococcus aureus	SAMEA2298711	2008	Tanzania	Homo sapiens	85.78481	0.04057
55	ERR1512850	Staphylococcus aureus	SAMEA4058976	-	-	-	85.78481	0.04057
56	ERR1592274	Staphylococcus aureus	SAMEA4390293	2015	DR_Congo	Homo sapiens	85.78481	0.04057
57	ERR1592301	Staphylococcus aureus	SAMEA4390312	2015	DR_Congo	Homo sapiens	85.78481	0.04057
58	ERR2639499	Staphylococcus aureus	SAMEA4728740	2016	United_Kingdom	Homo sapiens	85.78481	0.04057
59	ERR2919974	Staphylococcus aureus	SAMEA5096376	-	-	-	85.78481	0.04057
60	ERR2919976	Staphylococcus aureus	SAMEA5096378	-	-	-	85.78481	0.04057
61	ERR2919983	Staphylococcus aureus	SAMEA5096385	-	-	-	85.78481	0.04057
62	ERR2919984	Staphylococcus aureus	SAMEA5096386	-	-	-	85.78481	0.04057
63	ERR4656819	Staphylococcus aureus	SAMEA7375658	2019	France	Homo sapiens	85.78481	0.04057
64	ERR5052518	Staphylococcus aureus	SAMEA7471354	2015-17	Nigeria	Homo sapiens	85.78481	0.04057
65	ERR5052521	Staphylococcus aureus	SAMEA7471357	2015-17	Nigeria	Homo sapiens	85.78481	0.04057
66	SRR11278527	Staphylococcus aureus	SAMN14342147	2016	Australia	Homo sapiens	85.78481	0.04057
67	SRR11278556	Staphylococcus aureus	SAMN14342121	2017	Australia	Homo sapiens	85.78481	0.04057
68	SRR11612769	Staphylococcus aureus	SAMN14733330	2017	USA	Homo sapiens	85.78481	0.04057
69	SRR12078818	Staphylococcus aureus	SAMN15354604	2018	Samoa	Homo sapiens	85.78481	0.04057
70	SRR12472804	Staphylococcus aureus	SAMN14997533	2015	China	-	85.78481	0.04057
71	SRR12952292	Staphylococcus aureus	SAMN16605342	2015-05-06	USA	Homo sapiens	85.78481	0.04057
72	SRR2124621	Staphylococcus aureus	SAMN03859784	-	-	-	85.67190	0.04092
73	ERR5056511	Klebsiella pneumoniae	SAMEA7773807	2015	Norway	Homo sapiens	85.66963	0.04093
74	SRR7588841	Klebsiella pneumoniae	SAMN09630373	2016-03-12	USA	-	85.65775	0.04097
75	SRR7588845	Klebsiella pneumoniae	SAMN09630348	2016	USA	-	85.65775	0.04097
76	ERR5056611	Klebsiella pneumoniae	SAMEA7773907	2015	Norway	Homo sapiens	85.64143	0.04102
77	SRR7588834	Klebsiella pneumoniae	SAMN09630340	2016-05-15	USA	-	85.62969	0.04106
78	ERR5056348	Klebsiella pneumoniae	SAMEA7773644	2015	Norway	Homo sapiens	85.62676	0.04106
79	ERR6294210	Klebsiella pneumoniae	SAMEA8948597	2009	Norway	Homo sapiens	85.62676	0.04106
80	ERR5056325	Klebsiella pneumoniae	SAMEA7773621	2015	Norway	Homo sapiens	85.61830	0.04109
81	SRR5165558	Klebsiella pneumoniae	SAMN03159480	-	-	-	85.61796	0.04109
82	ERR5056515	Klebsiella pneumoniae	SAMEA7773811	2015	Norway	Homo sapiens	85.61775	0.04109
83	SRR10694524	Klebsiella pneumoniae	SAMN13523844	2017-09-27	USA	bovine	85.61775	0.04109
84	ERR6294095	Klebsiella pneumoniae	SAMEA8948477	2009	Norway	Homo sapiens	85.61521	0.04110
85	ERR5056606	Klebsiella pneumoniae	SAMEA7773902	2015	Norway	Homo sapiens	85.61223	0.04111
86	ERR5056555	Klebsiella pneumoniae	SAMEA7773851	2015	Norway	Homo sapiens	85.60915	0.04112
87	SRR4115190	Klebsiella pneumoniae	SAMN05723006	2014	USA	Homo sapiens	85.60657	0.04113
88	ERR3722864	Staphylococcus aureus	SAMEA6377523	-	-	-	85.60525	0.04113
89	ERR5056306	Klebsiella pneumoniae	SAMEA7773602	2015	Norway	Homo sapiens	85.60308	0.04114
90	SRR14986330	Klebsiella pneumoniae	SAMN19856750	2020-10-12	-	-	85.60308	0.04114
91	SRR7588833	Klebsiella pneumoniae	SAMN09630341	2016-07-17	USA	-	85.60308	0.04114
92	ERR5056638	Klebsiella pneumoniae	SAMEA7773934	2015	Norway	Homo sapiens	85.60065	0.04115
93	ERR5056467	Klebsiella pneumoniae	SAMEA7773763	2015	Norway	Homo sapiens	85.59758	0.04116
94	SRR7588839	Klebsiella pneumoniae	SAMN09630335	2016	USA	-	85.59723	0.04116
95	ERR5056345	Klebsiella pneumoniae	SAMEA7773641	2015	Norway	Homo sapiens	85.59484	0.04117
96	ERR5056551	Klebsiella pneumoniae	SAMEA7773847	2015	Norway	Homo sapiens	85.59484	0.04117
97	ERR5056386	Klebsiella pneumoniae	SAMEA7773682	2015	Norway	Homo sapiens	85.59166	0.04118
98	GCA_900458235.1	Staphylococcus aureus	SAMEA3504591	1947	United_Kingdom	Bovine	85.58101	0.04121
99	ERR6293569	Klebsiella pneumoniae	SAMEA8948819	2015	Norway	Homo sapiens	85.57411	0.04123
100	ERR6293576	Klebsiella pneumoniae	SAMEA8948826	2015	Norway	Homo sapiens	85.57137	0.04124
